path,source,true_label,assign_class,maha_min,pca_residual,knn_mean
/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980512.tif,Test,Alepocephalus bicolor,Alepocephalus bicolor,47.4844,3.611871,49.50702917098999
/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980518.tif,Test,Alepocephalus bicolor,Alepocephalus bicolor,44.3393,3.7829244,52.95742223739624
/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980520.tif,Test,Alepocephalus bicolor,Alepocephalus bicolor,43.47446,3.963064,52.99838716506958
/home/reshma/Otolith/otolith_Final/model_data/test/Apistus carinatus/Api 3 dorsal1.6x3.tif,Test,Apistus carinatus,Apistus carinatus,42.064808,2.5357645,59.24559766769409
/home/reshma/Otolith/otolith_Final/model_data/test/Apistus carinatus/Api dorsal 1.6x.tif,Test,Apistus carinatus,Apistus carinatus,42.06481,2.8065455,63.889772968292235
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (1).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.109974,1.4236267,2.65298445449894
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (10).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.690155,1.4991688,2.7216626186322195
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (100).tif,Test,Brachypterois serrulata,Brachypterois serrulata,47.87102,1.4156417,3.4290461707115174
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (101).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.928177,1.2492422,3.3251934559672076
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (102).tif,Test,Brachypterois serrulata,Brachypterois serrulata,44.663303,1.2940885,3.2641716073614884
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (103).tif,Test,Brachypterois serrulata,Brachypterois serrulata,46.43884,1.3474536,3.378111119137459
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (104).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.00682,1.2008425,3.3371454806279166
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (105).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.594185,1.3678579,3.4143951787543414
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (106).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.768986,1.3309926,3.35690401390483
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (107).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.485306,1.2720293,3.4851334047317506
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (108).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.13797,1.5675274,3.8164544509512712
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (109).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.879986,1.1978334,2.529632739887886
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (11).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.3484,1.5179832,2.587706100459002
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (110).tif,Test,Brachypterois serrulata,Brachypterois serrulata,76.55048,2.5624802,6.190542773718737
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (111).tif,Test,Brachypterois serrulata,Brachypterois serrulata,66.11414,2.579816,5.787097110748291
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (112).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.75252,2.6025667,5.020404236183815
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (113).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.677498,2.194089,3.871845772095211
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (114).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.91804,2.0809007,4.634818642006569
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (115).tif,Test,Brachypterois serrulata,Brachypterois serrulata,69.4062,2.5570598,5.508369333611183
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (116).tif,Test,Brachypterois serrulata,Brachypterois serrulata,71.81853,2.53132,5.566587256903551
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (12).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.04234,1.5754557,2.6870990633964538
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (13).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.97307,1.4394428,3.3191542790991595
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (14).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.588467,1.409536,3.223694445915706
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (15).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.029274,1.6564564,3.950122400078078
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (16).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.1081,1.645091,3.905169794426613
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (17).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.275383,1.513849,3.8592821351453166
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (18).tif,Test,Brachypterois serrulata,Brachypterois serrulata,42.050465,1.5802367,3.883451249466591
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (19).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.548626,1.4064841,3.362813915212166
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (2).tif,Test,Brachypterois serrulata,Brachypterois serrulata,29.563267,1.1067176,2.3763313722610473
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (20).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.59378,1.4313258,3.2942782349537834
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (21).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.11335,1.4243339,3.0923427890402606
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (22).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.986263,1.4928306,3.2949040316206744
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (23).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.568268,1.3634219,3.270098229844582
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (24).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.693295,1.3403964,3.1466521763801576
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (25).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.480133,1.590241,2.8429431547713397
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (26).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.721592,1.3433917,2.2588338444905354
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (27).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.847668,1.4135834,2.49696277995826
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (28).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.85645,1.457721,2.576501192913704
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (29).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.974716,1.5845454,2.789963970184326
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (3).tif,Test,Brachypterois serrulata,Brachypterois serrulata,32.552166,1.2364967,2.566682643757515
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (30).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.959454,1.5620855,2.7228431446879107
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (31).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.31657,1.4034736,2.341850556333077
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (32).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.724155,1.4626173,2.4948346538495048
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (33).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.54212,1.4908068,2.425040661294472
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (34).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.24089,1.5404025,2.626219966278725
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (35).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.63032,1.5717324,2.6670773458480834
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (36).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.358364,1.5533113,2.524657618828304
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (37).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.07867,1.1162255,2.4159454531620965
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (38).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.893894,1.1763612,2.454768470723641
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (39).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.648735,1.10244,2.289412800271523
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (4).tif,Test,Brachypterois serrulata,Brachypterois serrulata,33.64413,1.2503926,2.4038871874404073
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (40).tif,Test,Brachypterois serrulata,Brachypterois serrulata,34.23943,1.0630015,2.272962429523468
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (41).tif,Test,Brachypterois serrulata,Brachypterois serrulata,33.77474,1.0590864,2.2489959214406086
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (42).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.028492,1.1298892,2.4037709187132648
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (43).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.731865,1.0927268,2.405403026540291
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (44).tif,Test,Brachypterois serrulata,Brachypterois serrulata,34.445065,1.1335772,2.3044354246718215
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (45).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.615757,1.1045697,2.361832248682879
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (46).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.202316,1.1573414,2.325235593318939
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (47).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.63184,1.1965636,2.4520532650898916
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (48).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.289616,1.2324973,2.2761670923233033
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (49).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.829475,1.6435238,3.559454860687256
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (5).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.37303,1.2622606,2.49191490650177
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (50).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.77262,1.4008273,3.124551777706795
