path,source,true_label,assign_class,maha,pca,knn,is_ood,label,group
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image001.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,163.91881,5.581997,17.276787052154543,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image002.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,170.93723,5.796521,17.67722116470337,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image003.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,180.05586,5.7016835,19.045506248474123,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image004.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,157.21725,5.9956675,20.88938652038574,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image005.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,173.36415,5.927903,20.155130615234373,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image006.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,155.17723,7.2496705,20.40037872314453,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image007.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,157.4539,5.712416,21.08468881607056,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image008.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,139.5948,5.595974,19.11774780273437,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image009.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,151.77371,6.179857,19.62913604736328,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image010.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,143.22725,6.2252812,20.858470840454103,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image011.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,163.93095,6.0738144,21.147609901428225,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image012.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,144.09401,6.3752623,19.98153091430664,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image013.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,149.01036,5.9990973,19.12699501037598,True,OOD_shallow_marine_Amphiprion clarki,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Amphiprion clarki/L_sp1_Image014.tif,OOD,OOD_shallow_marine_Amphiprion clarki,Neomerinthe erostris,145.63274,5.958597,19.396982688903808,True,OOD_shallow_marine_Amphiprion clarki,OOD
