path,source,true_label,assign_class,maha,pca,knn,is_ood,label,group
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image001.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,185.72049,7.497108,29.422084197998046,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image002.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,201.06941,7.3554807,29.470829429626463,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image003.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,194.33636,8.397809,31.561674194335936,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image004.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,194.80315,8.922166,32.329579277038576,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image005.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,197.58963,8.9233465,32.53573673248291,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image006.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,140.75739,8.005118,25.747468032836917,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image007.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,188.71675,8.672105,30.782817153930665,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image008.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,191.2241,8.57517,30.849374809265136,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image009.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,191.81349,8.560989,30.912643814086916,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image010.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,193.4137,8.510905,30.97633281707764,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp1Image011.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,192.8345,8.501971,30.897582168579103,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/L_sp2_Image001.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,174.51454,9.628545,32.78524551391602,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/R_sp2_Image001.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,180.90242,8.603057,32.57566814422607,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/R_sp2_Image002.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,180.62692,8.547303,32.487190856933594,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/R_sp2_Image003.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,183.82574,9.054655,33.4151802444458,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/R_sp2_Image004.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,160.20749,8.276695,28.816074295043947,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/R_sp2_Image005.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,182.99477,9.083489,33.50947566986084,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/R_sp2_Image006.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,184.94626,9.233201,33.888242874145504,True,OOD_freshwater_Lutjanus malabaricus,OOD
/home/reshma/Otolith/otolith_Final/OOD/freshwater/Lutjanus malabaricus/R_sp2_Image007.tif,OOD,OOD_freshwater_Lutjanus malabaricus,Neomerinthe erostris,137.01082,7.116832,23.86798137664795,True,OOD_freshwater_Lutjanus malabaricus,OOD
