path,source,true_label,assign_class,maha,pca,knn,is_ood,label,group
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image002.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,134.30225,7.2605104,25.7208549118042,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image003.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,154.68475,6.490157,26.05199569702149,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image004.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,152.61827,6.568761,26.14800407409668,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image005.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,154.96838,6.4843655,26.08531806945801,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image006.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,171.09293,6.1026716,26.207515449523925,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image007.tif,OOD,OOD_shallow_marine_Nemipterus sp,Psenopsis sp,133.80629,5.926254,29.357889347076416,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image008.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,193.10805,5.647441,27.5195392036438,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image009.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,193.25784,5.6686482,27.768698959350587,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image010.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,180.68663,6.8551517,27.768588523864747,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image011.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,180.2103,6.953341,27.989484214782717,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image012.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,101.76791,6.3056808,21.973291664123536,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp1_Image013.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,104.86462,6.193603,21.700756340026857,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image001.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,137.86197,5.682758,22.11285472869873,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image002.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,139.1891,5.5711293,21.75124179840088,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image003.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,139.70042,5.551514,22.02042221069336,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image004.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,135.68495,5.67882,22.029673652648924,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image005.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,152.88446,6.2784905,23.180094833374024,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image006.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,156.3367,6.1413097,23.39068157196045,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image007.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,156.07109,6.100577,23.276059856414797,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image008.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,181.92233,6.0779448,23.62884052276611,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image009.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,184.92372,6.0680194,23.830088539123537,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image010.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,184.51001,6.047616,23.92811847686768,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image011.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,181.6645,5.9314218,23.72976493835449,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image012.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,181.4274,5.992668,23.73578155517578,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image013.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,166.23605,5.855448,23.869921836853027,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp2_Image014.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,106.13905,6.0576925,19.80116539001465,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp3_Image001.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,162.42427,5.750817,24.140001106262208,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp3_Image002.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,163.71355,5.826517,24.29410831451416,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp3_Image003.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,179.88902,6.3140526,25.826848373413085,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp3_Image004.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,167.53775,5.606502,24.734304180145266,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp3_Image005.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,162.8534,5.6346345,24.62480460166931,True,OOD_shallow_marine_Nemipterus sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Nemipterus sp/L_sp3_Image006.tif,OOD,OOD_shallow_marine_Nemipterus sp,Neomerinthe erostris,170.39203,5.2276855,24.86969738006592,True,OOD_shallow_marine_Nemipterus sp,OOD
