path,source,true_label,assign_class,maha,pca,knn,is_ood,label,group
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image001.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,125.81662,5.6062026,17.932428150177003,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image002.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,135.64304,5.844389,18.019845523834228,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image003.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,138.09726,5.4813657,16.423887367248536,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image004.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,139.71313,5.496322,16.776513500213625,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image005.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,136.16058,5.6647058,16.09679084777832,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image006.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,167.88081,6.180147,21.088798294067384,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image007.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,142.69241,5.9845185,17.952753868103027,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image008.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,138.3604,5.7962117,15.64578624725342,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image009.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,145.6075,5.80757,15.143672523498536,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image010.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,135.90482,5.43959,17.291169261932374,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image011.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,138.73297,5.0384097,12.87959623336792,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image012.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,157.2948,5.960683,14.254407081604004,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp1_Image013.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,144.70697,5.845261,18.105625915527344,True,OOD_shallow_marine_Oreochromis sp,OOD
/home/reshma/Otolith/otolith_Final/OOD/shallow_marine/Oreochromis sp/L_sp2_Image001.tif,OOD,OOD_shallow_marine_Oreochromis sp,Neomerinthe erostris,142.31789,6.6568856,22.772328338623048,True,OOD_shallow_marine_Oreochromis sp,OOD
