path,source,true_label,assign_class,maha,pca,knn,is_ood,label,group
/home/reshma/Otolith/otolith_Final/OOD/deepsea/Species2/R_Sp2_Image001.jpg,OOD,OOD_deepsea_Species2,Neomerinthe erostris,71.27455,8.386796,22.58608390808105,True,OOD_deepsea_Species2,OOD
/home/reshma/Otolith/otolith_Final/OOD/deepsea/Species2/R_Sp2_Image002.jpg,OOD,OOD_deepsea_Species2,Neomerinthe erostris,70.58311,8.410401,22.582469940185547,True,OOD_deepsea_Species2,OOD
/home/reshma/Otolith/otolith_Final/OOD/deepsea/Species2/R_Sp2_Image003.jpg,OOD,OOD_deepsea_Species2,Neomerinthe erostris,70.69247,8.4663515,22.717779693603514,True,OOD_deepsea_Species2,OOD
/home/reshma/Otolith/otolith_Final/OOD/deepsea/Species2/R_Sp2_Image004.jpg,OOD,OOD_deepsea_Species2,Neomerinthe erostris,72.7757,8.4211235,22.84512062072754,True,OOD_deepsea_Species2,OOD
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB24 1.0X TOP2.tif,Test,Neomerinthe erostris,Neomerinthe erostris,55.204525,6.3604817,30.296120991225145,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB32R 1.0X.tif,Test,Neomerinthe erostris,Neomerinthe erostris,43.44597,4.638751,46.03189270809581,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB34 1.0X TOP.tif,Test,Neomerinthe erostris,Neomerinthe erostris,46.337894,5.5102944,26.02185318421831,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB37R 1.0.tif,Test,Neomerinthe erostris,Neomerinthe erostris,43.41716,4.0902605,46.67529235839844,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB3R 0.75X.tif,Test,Neomerinthe erostris,Neomerinthe erostris,39.011887,4.326744,24.62980836357214,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB3R 1.0X.tif,Test,Neomerinthe erostris,Neomerinthe erostris,46.304108,6.452328,18.586553816452994,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB6R 0.75X.tif,Test,Neomerinthe erostris,Neomerinthe erostris,41.877518,4.086049,25.36085522488048,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Neomerinthe erostris/AB8R 1.0X.tif,Test,Neomerinthe erostris,Neomerinthe erostris,44.6814,5.7726526,33.406190822872425,False,Neomerinthe erostris,ID_nearest
/home/reshma/Otolith/otolith_Final/model_data/test/Chlorophthalmus acutifrons/Chlorophthalmus acutifrons_L_sp9(1).tif,Test,Chlorophthalmus acutifrons,Chlorophthalmus acutifrons,43.25179,2.1187122,11.77176092066015,False,Chlorophthalmus acutifrons,ID_other
/home/reshma/Otolith/otolith_Final/model_data/test/Chlorophthalmus acutifrons/Chlorophthalmus acutifrons_L_sp9(10).tif,Test,Chlorophthalmus acutifrons,Chlorophthalmus acutifrons,43.12382,1.4899895,12.080048320648936,False,Chlorophthalmus acutifrons,ID_other
