tag,label,image_path,dim
ID,Alepocephalus bicolor,/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980512.tif,2560.0
ID,Alepocephalus bicolor,/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980518.tif,2560.0
ID,Alepocephalus bicolor,/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980520.tif,2560.0
ID,Apistus carinatus,/home/reshma/Otolith/otolith_Final/model_data/test/Apistus carinatus/Api 3 dorsal1.6x3.tif,2560.0
ID,Apistus carinatus,/home/reshma/Otolith/otolith_Final/model_data/test/Apistus carinatus/Api dorsal 1.6x.tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (1).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (10).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (100).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (101).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (102).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (103).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (104).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (105).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (106).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (107).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (108).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (109).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (11).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (110).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (111).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (112).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (113).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (114).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (115).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (116).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (12).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (13).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (14).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (15).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (16).tif,2560.0
ID,Brachypterois serrulata,/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (17).tif,2560.0
