actual_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L
Alepocephalus bicolor,0.8688,0.8031,0.7528,0.7151,0.8210
Apistus carinatus,0.9043,0.8656,0.8362,0.8108,0.8632
Brachypterois serrulata,0.8101,0.7101,0.6245,0.5549,0.7038
Chlorophthalmus acutifrons,0.9386,0.8871,0.8509,0.8192,0.9322
Choridactylus multibarbus,0.8617,0.8306,0.7927,0.7561,0.8764
Coryphaenoides sp.,0.9076,0.8718,0.8362,0.7994,0.9048
Cubiceps baxteri,0.9316,0.8595,0.7992,0.7471,0.8739
Dactyloptena orientalis,0.8687,0.8080,0.7567,0.7134,0.8375
Dactyloptena papilio,0.8929,0.8359,0.7844,0.7407,0.8662
Dactyloptena tiltoni,0.8828,0.8336,0.7901,0.7522,0.8386
Ectreposebastes imus,0.9251,0.8875,0.8596,0.8350,0.9093
Grammoplites suppositus,0.8830,0.8116,0.7542,0.7100,0.8159
Hoplostethus sp.,1.0000,1.0000,1.0000,1.0000,1.0000
Lepidotrigla spiloptera,0.7837,0.7074,0.6530,0.6119,0.7484
Minous dempsterae,0.8554,0.7821,0.7246,0.6798,0.7871
Minous inermis,0.8837,0.8170,0.7650,0.7259,0.8172
Minous trachycephalus,0.8443,0.7880,0.7344,0.6971,0.8100
Neomerinthe erostris,0.9011,0.8345,0.7856,0.7490,0.8317
Parascombrops pellucidus,0.8662,0.8003,0.7546,0.7184,0.8240
Platycephalus indicus,0.8710,0.8029,0.7414,0.6862,0.8136
Polymixia fusca,0.7921,0.7107,0.6556,0.6098,0.7848
Psenopsis sp.,0.8092,0.7066,0.6345,0.5750,0.6566
Pterygotrigla arabica,0.8599,0.7835,0.7216,0.6756,0.8042
Pterygotrigla hemisticta,0.8237,0.7766,0.7385,0.7063,0.8559
Pterygotrigla macrorhynchus,0.8096,0.7224,0.6561,0.6000,0.7611
Satyrichthys laticeps,0.7985,0.7387,0.6891,0.6491,0.7741
Setarches guentheri,0.9160,0.8558,0.8129,0.7744,0.9070
Sorsogona tuberculata,0.8435,0.7702,0.7133,0.6606,0.7927
Synagrops japonicus,0.9101,0.8659,0.8297,0.7969,0.9022
Uranoscopus sp.,0.9606,0.9295,0.9105,0.8941,0.9254
