actual_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L
Alepocephalus bicolor,0.8821,0.8289,0.7822,0.7411,0.8603
Apistus carinatus,0.8689,0.8223,0.7873,0.7566,0.8259
Brachypterois serrulata,0.7736,0.6593,0.5655,0.4872,0.6636
Chlorophthalmus acutifrons,0.9464,0.9029,0.8711,0.8437,0.9484
Choridactylus multibarbus,0.8179,0.7247,0.6587,0.6048,0.7161
Coryphaenoides sp.,0.8793,0.8247,0.7748,0.7240,0.8721
Cubiceps baxteri,0.9054,0.8299,0.7646,0.7072,0.8582
Dactyloptena orientalis,0.8341,0.7529,0.6868,0.6340,0.7874
Dactyloptena papilio,0.8774,0.8055,0.7472,0.7007,0.8267
Dactyloptena tiltoni,0.8549,0.7961,0.7480,0.7096,0.8178
Ectreposebastes imus,0.8191,0.7423,0.6825,0.6349,0.7781
Grammoplites suppositus,0.8590,0.7827,0.7261,0.6823,0.7947
Hoplostethus sp.,0.9587,0.9494,0.9426,0.9361,0.9524
Lepidotrigla spiloptera,0.7914,0.7354,0.6969,0.6698,0.7921
Minous dempsterae,0.9019,0.8567,0.8221,0.7939,0.8642
Minous inermis,0.8298,0.7682,0.7159,0.6751,0.7813
Minous trachycephalus,0.7947,0.6945,0.6103,0.5405,0.7172
Neomerinthe erostris,0.9023,0.8405,0.7936,0.7571,0.8469
Parascombrops pellucidus,0.8640,0.7905,0.7391,0.6976,0.8230
Platycephalus indicus,0.8466,0.7684,0.7015,0.6464,0.7890
Polymixia fusca,0.8112,0.7527,0.7070,0.6664,0.8313
Psenopsis sp.,0.8895,0.8169,0.7655,0.7191,0.7865
Pterygotrigla arabica,0.8638,0.7888,0.7251,0.6756,0.8165
Pterygotrigla hemisticta,0.8232,0.7606,0.7095,0.6643,0.8133
Pterygotrigla macrorhynchus,0.8285,0.7526,0.6918,0.6385,0.7841
Satyrichthys laticeps,0.7877,0.7357,0.6926,0.6566,0.7848
Setarches guentheri,0.9162,0.8557,0.8138,0.7771,0.9088
Sorsogona tuberculata,0.9129,0.8707,0.8284,0.7910,0.9090
Synagrops japonicus,0.9008,0.8526,0.8136,0.7781,0.8841
Uranoscopus sp.,0.8270,0.7947,0.7647,0.7352,0.8004
