actual_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L
Alepocephalus bicolor,0.9052,0.8496,0.8080,0.7747,0.8550
Apistus carinatus,0.9043,0.8656,0.8362,0.8108,0.8632
Brachypterois serrulata,0.7821,0.6695,0.5816,0.5082,0.6665
Chlorophthalmus acutifrons,0.9447,0.8988,0.8656,0.8370,0.9439
Choridactylus multibarbus,0.8617,0.8306,0.7927,0.7561,0.8764
Coryphaenoides sp.,0.8887,0.8412,0.7938,0.7446,0.8839
Cubiceps baxteri,0.9162,0.8529,0.7947,0.7409,0.8865
Dactyloptena orientalis,0.8367,0.7589,0.6967,0.6468,0.7938
Dactyloptena papilio,0.8927,0.8345,0.7838,0.7402,0.8616
Dactyloptena tiltoni,0.8574,0.7832,0.7291,0.6859,0.8027
Ectreposebastes imus,0.7229,0.6212,0.5432,0.4817,0.6533
Grammoplites suppositus,0.8790,0.8109,0.7576,0.7152,0.8272
Hoplostethus sp.,0.9994,0.9992,0.9989,0.9985,0.9991
Lepidotrigla spiloptera,0.7914,0.7354,0.6969,0.6698,0.7921
Minous dempsterae,0.8928,0.8424,0.8036,0.7715,0.8476
Minous inermis,0.8701,0.8111,0.7616,0.7250,0.8154
Minous trachycephalus,0.8154,0.7430,0.6746,0.6223,0.7668
Neomerinthe erostris,0.8851,0.8198,0.7704,0.7328,0.8285
Parascombrops pellucidus,0.8595,0.7864,0.7357,0.6954,0.8151
Platycephalus indicus,0.8710,0.8029,0.7414,0.6862,0.8136
Polymixia fusca,0.8869,0.8377,0.7978,0.7606,0.9018
Psenopsis sp.,0.8724,0.7990,0.7457,0.6985,0.7891
Pterygotrigla arabica,0.8617,0.7883,0.7272,0.6800,0.8136
Pterygotrigla hemisticta,0.8168,0.7545,0.7054,0.6623,0.8115
Pterygotrigla macrorhynchus,0.8290,0.7573,0.6979,0.6480,0.7905
Satyrichthys laticeps,0.7859,0.7349,0.6907,0.6534,0.7754
Setarches guentheri,0.9165,0.8550,0.8125,0.7750,0.9085
Sorsogona tuberculata,0.9104,0.8669,0.8248,0.7873,0.8984
Synagrops japonicus,0.9050,0.8616,0.8248,0.7909,0.8958
Uranoscopus sp.,0.8771,0.8368,0.8011,0.7683,0.8441
