image,CER,model,feature,source_file
ab3980512.tif,0.2424242424242424,Gemma-3,Shape,shape_cer_gemma.csv
ab3980518.tif,0.3676470588235294,Gemma-3,Shape,shape_cer_gemma.csv
ab3980520.tif,0.1428571428571428,Gemma-3,Shape,shape_cer_gemma.csv
Api 3 dorsal1.6x3.tif,0.0,Gemma-3,Shape,shape_cer_gemma.csv
Api dorsal 1.6x.tif,0.0,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (1).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (10).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (100).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (101).tif,0.5,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (102).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (103).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (104).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (105).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (106).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (107).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (108).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (109).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (11).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (110).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (111).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (112).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (113).tif,0.5,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (114).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (115).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (116).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (12).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (13).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (14).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (15).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (16).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (17).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (18).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (19).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (2).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (20).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (21).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (22).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (23).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (24).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (25).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (26).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (27).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (28).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (29).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (3).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (30).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (31).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (32).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (33).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (34).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (35).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (36).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (37).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (38).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (39).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (4).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (40).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (41).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (42).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (43).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (44).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (45).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (46).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (47).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (48).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (49).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (5).tif,0.4791666666666667,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (50).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (51).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (52).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (53).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (54).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
Brachypterois serrulata_Sp4_L (55).tif,0.4583333333333333,Gemma-3,Shape,shape_cer_gemma.csv
