model,feature,n,cer_mean,cer_median,cer_std,cer_q25,cer_q75
Gemma-3,Shape,1256,0.2735103969766521,0.1818181818181818,0.27674618619813984,0.0142857142857142,0.4264705882352941
Gemma-3,Ostium,1191,0.2204789550717343,0.0,0.3912266270737687,0.0,0.0909090909090909
Gemma-3,Cauda,1239,0.07686392742637052,0.0,0.16055804563250237,0.0,0.2083333333333333
Gemma-3,Sulcus acusticus,1256,0.10935712947178032,0.0,0.16013622463100527,0.0,0.1724137931034483
Gemma-3,Anterior region,1256,0.2989371507458687,0.3571428571428571,0.1937794694770177,0.1304347826086956,0.4534883720930232
Gemma-3,Posterior region,1256,0.5941629384136927,0.7777777777777778,0.41574227876532216,0.0,1.0
LLaMA-3.2 Vision,Shape,1256,0.28911836129281515,0.19551282051282043,0.280911212926242,0.0142857142857142,0.4482758620689655
LLaMA-3.2 Vision,Ostium,1191,0.24228441343091545,0.0,0.4065693034611881,0.0,0.467741935483871
LLaMA-3.2 Vision,Cauda,1251,0.14448084122280824,0.0,0.2622979404650739,0.0,0.2083333333333333
LLaMA-3.2 Vision,Sulcus acusticus,1256,0.13859792750827385,0.0,0.20818082246834815,0.0,0.21875
LLaMA-3.2 Vision,Anterior region,1256,0.29596915466612617,0.253766769865841,0.21418251495656568,0.1304347826086956,0.4534883720930232
LLaMA-3.2 Vision,Posterior region,1256,0.4464232046866978,0.5909090909090909,0.42600822718919995,0.0,0.7916666666666667
