,precision,recall,f1-score,support
HALLUCINATE,0.0,0.0,0.0,0.0
HO-MESIAL-MD,0.0,0.0,0.0,0.0
HO-PO-MED__,0.8888888888888888,0.3333333333333333,0.48484848484848486,24.0
HS-OC-MED__,0.875,0.7777777777777778,0.8235294117647058,9.0
HS-OS-INF__,0.38,0.18627450980392157,0.25,204.0
HS-OS-M2S__,1.0,1.0,1.0,3.0
HS-OS-MED__,0.8199566160520607,0.896797153024911,0.856657223796034,843.0
HS-OS-SUP__,0.9305555555555556,0.9710144927536232,0.950354609929078,69.0
NOTVISIBLE_,1.0,0.7647058823529411,0.8666666666666667,17.0
PA-MESIAL__,1.0,1.0,1.0,48.0
PA-OS-MED__,0.609375,1.0,0.7572815533980582,39.0
accuracy,0.7794585987261147,0.7794585987261147,0.7794585987261147,0.7794585987261147
macro avg,0.6821614600451368,0.6299911953678644,0.6353943591275479,1256.0
weighted avg,0.7594949992026703,0.7794585987261147,0.7587993232510085,1256.0
