Image,actual_label,predicted_label,generated_caption,Description,anterior_gt_raw,anterior_gen_raw,CER
ab3980512.tif,Alepocephalus bicolor,Alepocephalus bicolor,"Type: Sagittal. Side: Right otolith. Shape: Triangular, entire dorsal and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, longer than cauda, Cauda: tubular, straight. anterior region: double-peaked, Excisura wide with wide, deep notch, rostrum longer than antirostrum, antirostrum present. Posterior region: Irregular","Type: Sagittal. Side: Right otolith. Shape: Triangular, sinuate dorsal and dentate to irregular ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, longer than cauda. Cauda: tubular, straight. anterior region: double-peaked, Excisura wide with moderately wide notch, rostrum longer than antirostrum, antirostrum present. Posterior region: Irregular","double-peaked, Excisura wide with moderately wide notch, rostrum longer than antirostrum, antirostrum present","double-peaked, Excisura wide with wide, deep notch, rostrum longer than antirostrum, antirostrum present",0.11009174311926606
ab3980518.tif,Alepocephalus bicolor,Parascombrops pellucidus,"Type: Sagittal. Side: Right otolith. Shape: Triangular, sinuate to crenate dorsal and irregular ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, longer than cauda, Cauda: tubular, straight. anterior region: peaked, rostrum and antirostrum well defined and angled. excisura wide and wide, deep notch. Posterior region: Irregular","Type: Sagittal. Side: Right otolith. Shape: Triangular, irregular dorsal and crenate to irregular ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, longer than cauda. Cauda: tubular, straight. anterior region: peaked, Excisura wide with wide notch, rostrum longer than antirostrum, antirostrum present, poorly developed. Posterior region: Irregular","peaked, Excisura wide with wide notch, rostrum longer than antirostrum, antirostrum present, poorly developed","peaked, rostrum and antirostrum well defined and angled",0.6513761467889908
ab3980520.tif,Alepocephalus bicolor,Alepocephalus bicolor,"Type: Sagittal. Side: Right otolith. Shape: Triangular, sinuate to crenate dorsal and irregular ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, longer than cauda, Cauda: tubular, straight. anterior region: double-peaked, Excisura wide with acute shallow notch, rostrum longer than antirostrum, antirostrum present. Posterior region: round to blunt","Type: Sagittal. Side: Right otolith. Shape: Triangular, sinuate to crenate dorsal and crenate to irregular ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, longer than cauda. Cauda: tubular, straight. anterior region: double-peaked, Excisura wide with moderately wide notch, rostrum longer than antirostrum, antirostrum present. Posterior region: Irregular","double-peaked, Excisura wide with moderately wide notch, rostrum longer than antirostrum, antirostrum present","double-peaked, Excisura wide with acute shallow notch, rostrum longer than antirostrum, antirostrum present",0.11926605504587157
Api 3 dorsal1.6x3.tif,Apistus carinatus,Apistus carinatus,"Type: Sagittal. Side: Right otolith. Shape: fusiform to spindle-shaped, sinuate to crenate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. Anterior region: irregular, rostrum and antirostrum blunt, excisura narrow with shallow notch. Posterior region: angled.","Type: Sagittal. Side: Right otolith. Shape: fusiform to spindle-shaped, sinuate to crenate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. Anterior region: peaked, rostrum and antirostrum poorly defined, excisura and notch poorly defined. Posterior region: irregular.","peaked, rostrum and antirostrum poorly defined, excisura and notch poorly defined","irregular, rostrum and antirostrum blunt, excisura narrow with shallow notch",0.5061728395061729
Api dorsal 1.6x.tif,Apistus carinatus,Apistus carinatus,"Type: Sagittal. Side: Right otolith. Shape: fusiform to spindle-shaped, sinuate to crenate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. Anterior region: irregular, rostrum and antirostrum blunt, excisura narrow with shallow notch. Posterior region: angled.","Type: Sagittal. Side: Right otolith. Shape: fusiform to spindle-shaped, sinuate to crenate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, slightly curved. Anterior region: peaked, rostrum and antirostrum poorly defined, excisura and notch poorly defined. Posterior region: notched.","peaked, rostrum and antirostrum poorly defined, excisura and notch poorly defined","irregular, rostrum and antirostrum blunt, excisura narrow with shallow notch",0.5061728395061729
Brachypterois serrulata_Sp4_L (1).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with poorly defined notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum blunt, excisura wide with poorly defined notch",0.4883720930232558
Brachypterois serrulata_Sp4_L (10).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6744186046511628
Brachypterois serrulata_Sp4_L (100).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Left otolith. Shape: oval, sinuate to creante dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled to round, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch",0.6627906976744186
Brachypterois serrulata_Sp4_L (101).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6162790697674418
Brachypterois serrulata_Sp4_L (102).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Right otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6162790697674418
