,precision,recall,f1-score,support
Not visible in ,0.0,0.0,0.0,0.0
curled,0.0,0.0,0.0,0.0
markedly,0.45267489711934156,0.6626506024096386,0.5378973105134475,166.0
much longer tha,0.0,0.0,0.0,0.0
slightly,0.7227414330218068,0.8888888888888888,0.7972508591065293,261.0
straight,0.8478260869565217,0.8297872340425532,0.8387096774193549,329.0
strongly,0.7732793522267206,0.43908045977011495,0.5601173020527859,435.0
undifferentiate,1.0,0.016666666666666666,0.03278688524590164,60.0
accuracy,0.645083932853717,0.645083932853717,0.645083932853717,0.645083932853717
macro avg,0.47456522116554883,0.35463423147223283,0.3458452542922524,1251.0
weighted avg,0.7506721405018556,0.645083932853717,0.6546180264993766,1251.0
