,precision,recall,f1-score,support
approximately pentagonal,1.0,1.0,1.0,96.0
cuneiform to elliptical,0.0,0.0,0.0,2.0
discoidal,1.0,0.5070422535211268,0.6728971962616822,71.0
discoidal to hour-glass,0.0,0.0,0.0,5.0
elliptical,0.7045454545454546,0.8691588785046729,0.7782426778242678,214.0
elliptical to fusiform,0.0,0.0,0.0,1.0
elliptical to hour-glass,0.0,0.0,0.0,1.0
elliptical to oval,0.2222222222222222,0.5,0.3076923076923077,4.0
elliptical to rhomboidal,0.0,0.0,0.0,0.0
fusiform,0.2857142857142857,0.4444444444444444,0.34782608695652173,9.0
fusiform to elliptic,0.0,0.0,0.0,1.0
fusiform to elliptical,0.0,0.0,0.0,0.0
fusiform to lancelolated,0.0,0.0,0.0,39.0
fusiform to lanceolated,0.0,0.0,0.0,0.0
fusiform to sagitiform,0.0,0.0,0.0,0.0
fusiform to spindle-shaped,1.0,1.0,1.0,2.0
hexagonal,1.0,0.36363636363636365,0.5333333333333333,11.0
hexagonal to fusiform,0.0,0.0,0.0,0.0
hour-glass,0.7,1.0,0.8235294117647058,14.0
hour-glass to rhomboidal,0.0,0.0,0.0,0.0
irregular,0.7804878048780488,1.0,0.8767123287671232,32.0
oblong,0.8333333333333334,1.0,0.9090909090909091,45.0
oval,0.9254079254079254,0.7026548672566372,0.7987927565392354,565.0
oval to cuneiform,1.0,0.5,0.6666666666666666,2.0
oval to elliptic,0.0,0.0,0.0,26.0
oval to elliptical,0.0,0.0,0.0,0.0
pentagonal,0.9,0.6923076923076923,0.782608695652174,13.0
rhomboidal,0.0,0.0,0.0,0.0
rhomboidal to elliptical,0.0,0.0,0.0,0.0
rhomboidal to fusiform,0.0,0.0,0.0,0.0
sagitiform,0.0,0.0,0.0,4.0
semicircular,0.8571428571428571,0.75,0.8,8.0
semicircular to hour-glass,0.0,0.0,0.0,1.0
spindle-shaped,0.8974358974358975,0.9333333333333333,0.9150326797385621,75.0
spindle-shaped to fusiform,0.0,0.0,0.0,9.0
squared to hour-glass,0.0,0.0,0.0,1.0
squared to irregular,0.0,0.0,0.0,1.0
squared to oval,0.0,0.0,0.0,1.0
triangular,1.0,1.0,1.0,3.0
triangular to spindle-shaped,0.0,0.0,0.0,0.0
accuracy,0.7221337579617835,0.7221337579617835,0.7221337579617835,0.7221337579617835
macro avg,0.3276572445170006,0.3065644458251068,0.30531062625718725,1256.0
weighted avg,0.8122842098005217,0.7221337579617835,0.751507489383148,1256.0
