,precision,recall,f1-score,support
HO-PO-MED__,0.0,0.0,0.0,24.0
HS-OC-MED__,0.4375,0.7777777777777778,0.56,9.0
HS-OS-INF__,0.5470085470085471,0.3137254901960784,0.3987538940809969,204.0
HS-OS-MED__,0.8331550802139037,0.9208037825059102,0.8747894441325098,846.0
HS-OS-SUP__,0.6590909090909091,0.8405797101449275,0.7388535031847133,69.0
NOTVISIBLE_,0.23809523809523808,0.29411764705882354,0.2631578947368421,17.0
PA-MESIAL__,0.0,0.0,0.0,48.0
PA-OS-MED__,0.7090909090909091,1.0,0.8297872340425532,39.0
micro avg,0.7727272727272727,0.7579617834394905,0.7652733118971061,1256.0
macro avg,0.4279925854374384,0.5183755509604397,0.4581677462722019,1256.0
weighted avg,0.7146145530892862,0.7579617834394905,0.727925113205858,1256.0
