Image,actual_shape,predicted_shape,generated_caption,Description
Brachypterois serrulata_Sp4_R (54).tif,oval,Semicircular,"Type: Sagittal. Side: Right otolith. Shape: Semicircular, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura moderately wide with wide, shallow notch. Posterior region: blunt.
Class detected:Dactyloptena papilio","Type: Sagittal, Side: Right otolith. Shape: oval, lobed to crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_R (58).tif,oval,Semicircular to triangular,"Type: Sagittal. Side: Right otolith. Shape: Semicircular to triangular, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: double-peaked, rostrum angled and antirostrum angled,  excisura wide with acute, deep notch. Posterior region: round to angled.
Class detected:Dactyloptena papilio","Type: Sagittal, Side: Right otolith. Shape: oval, lobed to crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
ChM C 2.0X DORSAL1.tif,Cuneiform to elliptical,Fusiform,"Type: Sagittal. Side: Right otolith. Shape: Fusiform, crenate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: blunt, rostrum and antirostrum blunt excisura moderately narrow with shallow wide notch.  Posterior region: blunt.
Class detected:Choridactylus multibarbus","Type: Sagittal. Side: Right otolith. Shape: Cuneiform to elliptical, irregular dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled, rostrum and antirostrum blunt, excisura moderately narrow with shallow wide notch or poorly defined.  Posterior region: blunt."
ChM C 2.0X DORSAL2.tif,Cuneiform to elliptical,Fusiform,"Type: Sagittal. Side: Right otolith. Shape: Fusiform, crenate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: blunt, rostrum and antirostrum blunt excisura moderately narrow with shallow wide notch.  Posterior region: blunt.
Class detected:Choridactylus multibarbus","Type: Sagittal. Side: Right otolith. Shape: Cuneiform to elliptical, irregular dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled, rostrum and antirostrum blunt, excisura moderately narrow with shallow wide notch or poorly defined.  Posterior region: blunt."
Coryphaenoides sp_Sp10_L (10).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (11).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (12).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (13).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (14).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (15).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
