Image,actual_shape,predicted_shape,generated_caption,Description
Brachypterois serrulata_Sp4_L (1).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with poorly defined notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (10).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (101).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (102).tif,oval,elliptical,"Type: Sagittal. Side: Right otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (104).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (105).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (109).tif,oval,elliptical,"Type: Sagittal. Side: Right otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (11).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum poorly defined, excisura poorly defined without notch. Posterior region: blunt to irregular.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (110).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: flattened to blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (111).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: round, rostrum blunt and antirostrum blunt, excisura narrow with shallow, acute notch. Posterior region: peaked.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (112).tif,oval,elliptical,"Type: Sagittal. Side: Right otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
Brachypterois serrulata_Sp4_L (113).tif,oval,elliptical,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened."
