species,model,n,cer_mean,cer_median,cer_std
Alepocephalus bicolor,Gemma-3,18,0.38657961284782655,0.19919377258826798,0.4151086149367115
Alepocephalus bicolor,LLaMA-3.2 Vision,18,0.2949677758231455,0.11467889908256876,0.3753173712961961
Apistus carinatus,Gemma-3,12,0.2087007642563198,0.0,0.31693018045720633
Apistus carinatus,LLaMA-3.2 Vision,12,0.2087007642563198,0.0,0.31693018045720633
Brachypterois serrulata,Gemma-3,1224,0.4520864598333758,0.4534883720930232,0.33039949495500615
Brachypterois serrulata,LLaMA-3.2 Vision,1224,0.49444628544278835,0.4883720930232558,0.3423187824184629
Chlorophthalmus acutifrons,Gemma-3,270,0.2585875481215983,0.0,0.38257099986639675
Chlorophthalmus acutifrons,LLaMA-3.2 Vision,270,0.2529908403026682,0.0,0.3794619294132458
Choridactylus multibarbus,Gemma-3,12,0.09691182446160096,0.0,0.14722987404470264
Choridactylus multibarbus,LLaMA-3.2 Vision,12,0.09691182446160096,0.0,0.14722987404470264
Coryphaenoides sp,Gemma-3,144,0.37986111111111115,0.1545454545454545,0.445925506377452
Coryphaenoides sp,LLaMA-3.2 Vision,144,0.3556114024864025,0.19573863636363636,0.38699899458192194
Cubiceps baxteri,Gemma-3,804,0.20129047298416614,0.2083333333333333,0.23530326503474622
Cubiceps baxteri,LLaMA-3.2 Vision,804,0.15786313953315317,0.1836734693877551,0.15824272685397267
Dactyloptena orientalis,Gemma-3,276,0.2570306323967827,0.1159420289855072,0.2808425184933338
Dactyloptena orientalis,LLaMA-3.2 Vision,276,0.2534469227766878,0.0909090909090909,0.3052484553766658
Dactyloptena papilio,Gemma-3,54,0.18958284847344165,0.0357142857142857,0.29227682940069727
Dactyloptena papilio,LLaMA-3.2 Vision,54,0.2425220851221551,0.13387056471764114,0.32624153968376124
Dactyloptena tiltoni,Gemma-3,54,0.21969621910079123,0.0,0.32736117640239526
Dactyloptena tiltoni,LLaMA-3.2 Vision,54,0.27099646355523693,0.1528462572837292,0.31794806958339195
Ectreposbastes imus,Gemma-3,288,0.12916356007470464,0.0,0.2012948806796591
Ectreposbastes imus,LLaMA-3.2 Vision,300,0.557066288406088,0.5373134328358209,0.29559600625356125
Grammoplites suppositus,Gemma-3,72,0.3658228552562772,0.24999999999999994,0.38339306676232615
Grammoplites suppositus,LLaMA-3.2 Vision,72,0.3274964876441099,0.07102272727272725,0.37764753993432637
Hoplostethus sp,Gemma-3,192,0.16666666666666666,0.0,0.3736523194714872
Hoplostethus sp,LLaMA-3.2 Vision,192,0.0,0.0,0.0
Lepidotrigla spiloptera,Gemma-3,18,0.15367521367521367,0.0,0.25433732209696497
Lepidotrigla spiloptera,LLaMA-3.2 Vision,18,0.10666666666666666,0.0,0.1884924713740734
Minous dempsterae,Gemma-3,1098,0.2444292468907144,0.0,0.34319491963992005
Minous dempsterae,LLaMA-3.2 Vision,1098,0.10307742235871366,0.0,0.2156351617298901
Minous inermis,Gemma-3,78,0.2680001030425671,0.0,0.3628183391261416
Minous inermis,LLaMA-3.2 Vision,78,0.26082080575715094,0.0,0.3674839139034659
Minous trachycephalus,Gemma-3,12,0.1920758034541318,0.0,0.31611709811383865
Minous trachycephalus,LLaMA-3.2 Vision,12,0.2777178807224227,0.2034090909090909,0.31015357369999924
Neomerinthe erostris,Gemma-3,18,0.2839068745177144,0.07407407407407406,0.3782310435961604
Neomerinthe erostris,LLaMA-3.2 Vision,18,0.27776306308899273,0.1206896551724138,0.3710740558670855
Parascombrops pellucidus,Gemma-3,60,0.32095433462454737,0.06756756756756754,0.3895128700146316
Parascombrops pellucidus,LLaMA-3.2 Vision,60,0.19378135786907533,0.0,0.2721581953335261
Platycephalus indicus,Gemma-3,24,0.35156219743870065,0.36,0.313393166741366
Platycephalus indicus,LLaMA-3.2 Vision,24,0.3317024376332887,0.281063829787234,0.31691595664528305
Polymixia fusca,Gemma-3,576,0.293864093042186,0.1428571428571428,0.33867728340545605
Polymixia fusca,LLaMA-3.2 Vision,576,0.1652368705634997,0.0,0.2851975620390333
Psenopsis sp,Gemma-3,66,0.48094531130245416,0.4722222222222222,0.34105717604481994
Psenopsis sp,LLaMA-3.2 Vision,66,0.2540797553112824,0.3214285714285714,0.2611785065263934
Pterygotrigla arabica,Gemma-3,54,0.25347033398998026,0.171875,0.315366396135135
Pterygotrigla arabica,LLaMA-3.2 Vision,54,0.21802298653603625,0.171875,0.2785124968979708
Pterygotrigla hemisticta,Gemma-3,94,0.27261208295377715,0.0909090909090909,0.32356767994126084
Pterygotrigla hemisticta,LLaMA-3.2 Vision,94,0.3284991993000291,0.303921568627451,0.2851663827797929
Pterygotrigla macrorhynchus,Gemma-3,58,0.2690426981007621,0.22170452339351582,0.3184126939849866
Pterygotrigla macrorhynchus,LLaMA-3.2 Vision,58,0.20921379670784587,0.04545454545454545,0.26495464185954226
Satyrichthys laticeps,Gemma-3,108,0.2821916278394245,0.024436090225563898,0.3390270103561055
Satyrichthys laticeps,LLaMA-3.2 Vision,108,0.28023874526036785,0.0769230769230769,0.3276020634383313
Setarches guentheri,Gemma-3,234,0.3018917948585468,0.0,0.439678966859832
Setarches guentheri,LLaMA-3.2 Vision,234,0.2980931243932097,0.0,0.4421544403665253
Sorsogona tuberculata,Gemma-3,450,0.14423157503759573,0.1076923076923077,0.1781520947920238
Sorsogona tuberculata,LLaMA-3.2 Vision,450,0.18446497276080787,0.1076923076923077,0.22903708895591685
Synagrops japonicus,Gemma-3,594,0.1279864956812589,0.0,0.19221208235093398
Synagrops japonicus,LLaMA-3.2 Vision,594,0.12962882992444955,0.0,0.18827110892091814
Uranoscopus sp,Gemma-3,492,0.19591048753296894,0.0,0.36353763936749967
Uranoscopus sp,LLaMA-3.2 Vision,492,0.40618182796914093,0.1724137931034483,0.4237348183938745
