species,Gemma-3,LLaMA-3.2 Vision
Alepocephalus bicolor,0.38657961284782655,0.2949677758231455
Apistus carinatus,0.2087007642563198,0.2087007642563198
Brachypterois serrulata,0.4520864598333758,0.49444628544278835
Chlorophthalmus acutifrons,0.2585875481215983,0.2529908403026682
Choridactylus multibarbus,0.09691182446160096,0.09691182446160096
Coryphaenoides sp,0.37986111111111115,0.3556114024864025
Cubiceps baxteri,0.20129047298416614,0.15786313953315317
Dactyloptena orientalis,0.2570306323967827,0.2534469227766878
Dactyloptena papilio,0.18958284847344165,0.2425220851221551
Dactyloptena tiltoni,0.21969621910079123,0.27099646355523693
Ectreposbastes imus,0.12916356007470464,0.557066288406088
Grammoplites suppositus,0.3658228552562772,0.3274964876441099
Hoplostethus sp,0.16666666666666666,0.0
Lepidotrigla spiloptera,0.15367521367521367,0.10666666666666666
Minous dempsterae,0.2444292468907144,0.10307742235871366
Minous inermis,0.2680001030425671,0.26082080575715094
Minous trachycephalus,0.1920758034541318,0.2777178807224227
Neomerinthe erostris,0.2839068745177144,0.27776306308899273
Parascombrops pellucidus,0.32095433462454737,0.19378135786907533
Platycephalus indicus,0.35156219743870065,0.3317024376332887
Polymixia fusca,0.293864093042186,0.1652368705634997
Psenopsis sp,0.48094531130245416,0.2540797553112824
Pterygotrigla arabica,0.25347033398998026,0.21802298653603625
Pterygotrigla hemisticta,0.27261208295377715,0.3284991993000291
Pterygotrigla macrorhynchus,0.2690426981007621,0.20921379670784587
Satyrichthys laticeps,0.2821916278394245,0.28023874526036785
Setarches guentheri,0.3018917948585468,0.2980931243932097
Sorsogona tuberculata,0.14423157503759573,0.18446497276080787
Synagrops japonicus,0.1279864956812589,0.12962882992444955
Uranoscopus sp,0.19591048753296894,0.40618182796914093
