Alepocephalus bicolor
Apistus carinatus
Brachypterois serrulata
Chlorophthalmus acutifrons
Choridactylus multibarbus
Coryphaenoides sp
Cubiceps baxteri
Dactyloptena orientalis
Dactyloptena papilio
Dactyloptena tiltoni
Ectreposbastes imus
Grammoplites suppositus
Hoplostethus sp
Lepidotrigla spiloptera
Minous dempsterae
Minous inermis
Minous trachycephalus
Neomerinthe erostris
Parascombrops pellucidus
Platycephalus indicus
Polymixia fusca
Psenopsis sp
Pterygotrigla arabica
Pterygotrigla hemisticta
Pterygotrigla macrorhynchus
Satyrichthys laticeps
Setarches guentheri
Sorsogona tuberculata
Synagrops japonicus
Uranoscopus sp
